,Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,Tasa
0,Arica y Parinacota,15.0,Arica,15101.0,247552.0,6.0,6.0,12.0,41.0,63.0,87.0,115.0,124.0,134.0,166.0,224.0,90.5
1,Arica y Parinacota,15.0,Camarones,15102.0,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Arica y Parinacota,15.0,General Lagos,15202.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Arica y Parinacota,15.0,Putre,15201.0,2515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Arica y Parinacota,15.0,Total,,252110.0,6.0,6.0,12.0,41.0,63.0,87.0,115.0,124.0,134.0,166.0,224.0,88.9
5,,,,,,,,,,,,,,,,,
6,Tarapaca,1.0,Alto Hospicio,1107.0,129999.0,0.0,0.0,0.0,5.0,6.0,10.0,14.0,15.0,16.0,27.0,39.0,30.0
7,Tarapaca,1.0,Camina,1402.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Tarapaca,1.0,Colchane,1403.0,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tarapaca,1.0,Huara,1404.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Tarapaca,1.0,Iquique,1101.0,223463.0,5.0,9.0,10.0,13.0,16.0,18.0,26.0,26.0,31.0,36.0,58.0,26.0
11,Tarapaca,1.0,Pica,1405.0,5958.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,19.0,24.0,28.0,31.0,520.3
12,Tarapaca,1.0,Pozo Almonte,1401.0,17395.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,11.5
13,Tarapaca,1.0,Total,,382773.0,5.0,10.0,13.0,21.0,26.0,35.0,52.0,62.0,73.0,93.0,130.0,34.0
14,,,,,,,,,,,,,,,,,
15,Antofagasta,2.0,Antofagasta,2101.0,425725.0,29.0,32.0,44.0,54.0,60.0,82.0,106.0,122.0,145.0,184.0,261.0,61.3
16,Antofagasta,2.0,Calama,2201.0,190336.0,0.0,0.0,5.0,7.0,8.0,13.0,20.0,21.0,21.0,25.0,35.0,18.4
17,Antofagasta,2.0,Maria Elena,2302.0,6814.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,7.0,102.7
18,Antofagasta,2.0,Mejillones,2102.0,14776.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,14.0,19.0,27.0,43.0,291.0
19,Antofagasta,2.0,Ollague,2202.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Antofagasta,2.0,San Pedro de Atacama,2203.0,10434.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,38.3
21,Antofagasta,2.0,Sierra Gorda,2103.0,1746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Antofagasta,2.0,Taltal,2104.0,13657.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,7.0,7.0,7.0,51.3
23,Antofagasta,2.0,Tocopilla,2301.0,28079.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,11.0,11.0,11.0,39.2
24,Antofagasta,2.0,Total,,691854.0,35.0,39.0,54.0,68.0,77.0,110.0,149.0,176.0,211.0,264.0,368.0,53.2
25,,,,,,,,,,,,,,,,,
26,Atacama,3.0,Alto del Carmen,3302.0,5729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Atacama,3.0,Caldera,3102.0,19426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Atacama,3.0,Chanaral,3201.0,13164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Atacama,3.0,Copiapo,3101.0,171766.0,0.0,0.0,4.0,4.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,4.7
30,Atacama,3.0,Diego de Almagro,3202.0,14358.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0
31,Atacama,3.0,Freirina,3303.0,7681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
