Region,Comuna,Codigo comuna,Fecha,Casos Diarios,Fallecidos Diarios,Muertes,Casos Acumulados
Antofagasta,Antofagasta,2101,2020-03-03,0,0,0,0
Antofagasta,Antofagasta,2101,2020-03-04,0,0,0,0
Antofagasta,Antofagasta,2101,2020-03-05,0,0,0,0
Antofagasta,Antofagasta,2101,2020-03-06,0,0,0,0
Antofagasta,Antofagasta,2101,2020-03-07,0,0,0,0
Antofagasta,Antofagasta,2101,2020-03-08,0,0,0,0
Antofagasta,Antofagasta,2101,2020-03-09,0,0,0,0
Antofagasta,Antofagasta,2101,2020-03-10,0,0,0,0
Antofagasta,Antofagasta,2101,2020-03-11,0,0,0,0
Antofagasta,Antofagasta,2101,2020-03-12,0,0,0,0
Antofagasta,Antofagasta,2101,2020-03-13,0,0,0,0
Antofagasta,Antofagasta,2101,2020-03-14,0,0,0,0
Antofagasta,Antofagasta,2101,2020-03-15,0,0,0,0
Antofagasta,Antofagasta,2101,2020-03-16,0,0,0,0
Antofagasta,Antofagasta,2101,2020-03-17,0,0,0,0
Antofagasta,Antofagasta,2101,2020-03-18,0,0,0,0
Antofagasta,Antofagasta,2101,2020-03-19,3,0,0,3
Antofagasta,Antofagasta,2101,2020-03-20,4,0,0,7
Antofagasta,Antofagasta,2101,2020-03-21,1,0,0,8
Antofagasta,Antofagasta,2101,2020-03-22,0,0,0,8
Antofagasta,Antofagasta,2101,2020-03-23,2,0,0,10
Antofagasta,Antofagasta,2101,2020-03-24,6,0,0,16
Antofagasta,Antofagasta,2101,2020-03-25,1,0,0,17
Antofagasta,Antofagasta,2101,2020-03-26,3,0,0,20
Antofagasta,Antofagasta,2101,2020-03-27,1,0,0,21
Antofagasta,Antofagasta,2101,2020-03-28,4,0,0,25
Antofagasta,Antofagasta,2101,2020-03-29,7,0,0,32
Antofagasta,Antofagasta,2101,2020-03-30,0,0,0,32
Antofagasta,Antofagasta,2101,2020-03-31,1,0,0,33
Antofagasta,Antofagasta,2101,2020-04-01,3,0,0,36
Antofagasta,Antofagasta,2101,2020-04-02,8,0,0,44
Antofagasta,Antofagasta,2101,2020-04-03,4,0,0,48
Antofagasta,Antofagasta,2101,2020-04-04,0,0,0,48
Antofagasta,Antofagasta,2101,2020-04-05,5,0,0,53
Antofagasta,Antofagasta,2101,2020-04-06,2,0,0,55
Antofagasta,Antofagasta,2101,2020-04-07,0,0,0,55
Antofagasta,Antofagasta,2101,2020-04-08,4,0,0,59
Antofagasta,Antofagasta,2101,2020-04-09,10,0,0,69
Antofagasta,Antofagasta,2101,2020-04-10,13,0,0,82
Antofagasta,Antofagasta,2101,2020-04-11,5,0,0,87
Antofagasta,Antofagasta,2101,2020-04-12,12,0,0,99
Antofagasta,Antofagasta,2101,2020-04-13,9,0,0,108
Antofagasta,Antofagasta,2101,2020-04-14,1,0,0,109
Antofagasta,Antofagasta,2101,2020-04-15,12,0,0,121
Antofagasta,Antofagasta,2101,2020-04-16,11,0,0,132
Antofagasta,Antofagasta,2101,2020-04-17,13,0,0,145
Antofagasta,Antofagasta,2101,2020-04-18,10,0,0,155
Antofagasta,Antofagasta,2101,2020-04-19,11,0,0,166
Antofagasta,Antofagasta,2101,2020-04-20,18,0,0,184
Antofagasta,Antofagasta,2101,2020-04-21,21,0,0,205
Antofagasta,Antofagasta,2101,2020-04-22,26,0,0,231
Antofagasta,Antofagasta,2101,2020-04-23,12,0,0,243
Antofagasta,Antofagasta,2101,2020-04-24,18,0,0,261
Antofagasta,Antofagasta,2101,2020-04-25,14,0,0,275
Antofagasta,Antofagasta,2101,2020-04-26,22,0,0,297
Antofagasta,Antofagasta,2101,2020-04-27,6,0,0,303
Antofagasta,Antofagasta,2101,2020-04-28,15,0,0,318
Antofagasta,Antofagasta,2101,2020-04-29,22,0,0,340
Antofagasta,Antofagasta,2101,2020-04-30,20,0,0,360
Antofagasta,Antofagasta,2101,2020-05-01,18,0,0,378
Antofagasta,Antofagasta,2101,2020-05-02,57,0,0,435
Antofagasta,Antofagasta,2101,2020-05-03,35,0,0,470
Antofagasta,Antofagasta,2101,2020-05-04,16,0,0,486
Antofagasta,Antofagasta,2101,2020-05-05,34,0,0,520
Antofagasta,Antofagasta,2101,2020-05-06,33,0,0,553
Antofagasta,Antofagasta,2101,2020-05-07,34,0,0,587
Antofagasta,Antofagasta,2101,2020-05-08,0,0,0,587
Antofagasta,Antofagasta,2101,2020-05-09,0,0,0,587
Antofagasta,Antofagasta,2101,2020-05-10,0,0,0,587
Antofagasta,Antofagasta,2101,2020-05-11,0,0,0,587
Antofagasta,Antofagasta,2101,2020-05-12,0,0,0,587
Antofagasta,Antofagasta,13101,2020-04-30,0,1,1,587
Antofagasta,Antofagasta,13132,2020-04-07,0,1,2,587
Antofagasta,Antofagasta,13132,2020-04-25,0,1,3,587
Antofagasta,Antofagasta,13401,2020-05-01,0,1,4,587
Antofagasta,Antofagasta,16101,2020-04-22,0,1,5,587
Antofagasta,Calama,2201,2020-03-03,0,0,0,0
Antofagasta,Calama,2201,2020-03-04,0,0,0,0
Antofagasta,Calama,2201,2020-03-05,0,0,0,0
Antofagasta,Calama,2201,2020-03-06,0,0,0,0
Antofagasta,Calama,2201,2020-03-07,0,0,0,0
Antofagasta,Calama,2201,2020-03-08,0,0,0,0
Antofagasta,Calama,2201,2020-03-09,0,0,0,0
Antofagasta,Calama,2201,2020-03-10,0,0,0,0
Antofagasta,Calama,2201,2020-03-11,0,0,0,0
Antofagasta,Calama,2201,2020-03-12,0,0,0,0
Antofagasta,Calama,2201,2020-03-13,0,0,0,0
Antofagasta,Calama,2201,2020-03-14,2,0,0,2
Antofagasta,Calama,2201,2020-03-15,0,0,0,2
Antofagasta,Calama,2201,2020-03-16,0,0,0,2
Antofagasta,Calama,2201,2020-03-17,0,0,0,2
Antofagasta,Calama,2201,2020-03-18,0,0,0,2
Antofagasta,Calama,2201,2020-03-19,0,0,0,2
Antofagasta,Calama,2201,2020-03-20,0,0,0,2
Antofagasta,Calama,2201,2020-03-21,0,0,0,2
Antofagasta,Calama,2201,2020-03-22,0,0,0,2
Antofagasta,Calama,2201,2020-03-23,0,0,0,2
Antofagasta,Calama,2201,2020-03-24,0,0,0,2
Antofagasta,Calama,2201,2020-03-25,0,0,0,2
Antofagasta,Calama,2201,2020-03-26,0,0,0,2
Antofagasta,Calama,2201,2020-03-27,1,0,0,3
Antofagasta,Calama,2201,2020-03-28,0,0,0,3
Antofagasta,Calama,2201,2020-03-29,0,0,0,3
Antofagasta,Calama,2201,2020-03-30,0,0,0,3
Antofagasta,Calama,2201,2020-03-31,0,0,0,3
Antofagasta,Calama,2201,2020-04-01,0,0,0,3
Antofagasta,Calama,2201,2020-04-02,2,0,0,5
Antofagasta,Calama,2201,2020-04-03,0,0,0,5
Antofagasta,Calama,2201,2020-04-04,1,0,0,6
Antofagasta,Calama,2201,2020-04-05,0,0,0,6
Antofagasta,Calama,2201,2020-04-06,1,0,0,7
Antofagasta,Calama,2201,2020-04-07,1,0,0,8
Antofagasta,Calama,2201,2020-04-08,1,0,0,9
Antofagasta,Calama,2201,2020-04-09,3,0,0,12
Antofagasta,Calama,2201,2020-04-10,0,0,0,12
Antofagasta,Calama,2201,2020-04-11,2,0,0,14
Antofagasta,Calama,2201,2020-04-12,6,0,0,20
Antofagasta,Calama,2201,2020-04-13,0,0,0,20
Antofagasta,Calama,2201,2020-04-14,0,0,0,20
Antofagasta,Calama,2201,2020-04-15,1,0,0,21
Antofagasta,Calama,2201,2020-04-16,0,0,0,21
Antofagasta,Calama,2201,2020-04-17,0,0,0,21
Antofagasta,Calama,2201,2020-04-18,3,0,0,24
Antofagasta,Calama,2201,2020-04-19,1,0,0,25
Antofagasta,Calama,2201,2020-04-20,0,0,0,25
Antofagasta,Calama,2201,2020-04-21,4,0,0,29
Antofagasta,Calama,2201,2020-04-22,4,0,0,33
Antofagasta,Calama,2201,2020-04-23,1,0,0,34
Antofagasta,Calama,2201,2020-04-24,1,0,0,35
Antofagasta,Calama,2201,2020-04-25,6,0,0,41
Antofagasta,Calama,2201,2020-04-26,9,0,0,50
Antofagasta,Calama,2201,2020-04-27,4,0,0,54
Antofagasta,Calama,2201,2020-04-28,5,0,0,59
Antofagasta,Calama,2201,2020-04-29,4,0,0,63
Antofagasta,Calama,2201,2020-04-30,5,0,0,68
Antofagasta,Calama,2201,2020-05-01,0,0,0,68
Antofagasta,Calama,2201,2020-05-02,0,0,0,68
Antofagasta,Calama,2201,2020-05-03,11,0,0,79
Antofagasta,Calama,2201,2020-05-04,3,0,0,82
Antofagasta,Calama,2201,2020-05-05,4,0,0,86
Antofagasta,Calama,2201,2020-05-06,5,0,0,91
Antofagasta,Calama,2201,2020-05-07,3,0,0,94
Antofagasta,Calama,2201,2020-05-08,0,0,0,94
Antofagasta,Calama,2201,2020-05-09,0,0,0,94
Antofagasta,Calama,2201,2020-05-10,0,0,0,94
Antofagasta,Calama,2201,2020-05-11,0,0,0,94
Antofagasta,Calama,2201,2020-05-12,0,0,0,94
Antofagasta,Calama,8110,2020-05-01,0,1,1,94
Antofagasta,María Elena,2302,2020-03-03,0,0,0,0
Antofagasta,María Elena,2302,2020-03-04,0,0,0,0
Antofagasta,María Elena,2302,2020-03-05,0,0,0,0
Antofagasta,María Elena,2302,2020-03-06,0,0,0,0
Antofagasta,María Elena,2302,2020-03-07,0,0,0,0
Antofagasta,María Elena,2302,2020-03-08,0,0,0,0
Antofagasta,María Elena,2302,2020-03-09,0,0,0,0
Antofagasta,María Elena,2302,2020-03-10,0,0,0,0
Antofagasta,María Elena,2302,2020-03-11,0,0,0,0
Antofagasta,María Elena,2302,2020-03-12,0,0,0,0
Antofagasta,María Elena,2302,2020-03-13,0,0,0,0
Antofagasta,María Elena,2302,2020-03-14,0,0,0,0
Antofagasta,María Elena,2302,2020-03-15,0,0,0,0
Antofagasta,María Elena,2302,2020-03-16,0,0,0,0
Antofagasta,María Elena,2302,2020-03-17,0,0,0,0
Antofagasta,María Elena,2302,2020-03-18,0,0,0,0
Antofagasta,María Elena,2302,2020-03-19,0,0,0,0
Antofagasta,María Elena,2302,2020-03-20,0,0,0,0
Antofagasta,María Elena,2302,2020-03-21,0,0,0,0
Antofagasta,María Elena,2302,2020-03-22,0,0,0,0
Antofagasta,María Elena,2302,2020-03-23,0,0,0,0
Antofagasta,María Elena,2302,2020-03-24,0,0,0,0
Antofagasta,María Elena,2302,2020-03-25,0,0,0,0
Antofagasta,María Elena,2302,2020-03-26,0,0,0,0
Antofagasta,María Elena,2302,2020-03-27,0,0,0,0
Antofagasta,María Elena,2302,2020-03-28,0,0,0,0
Antofagasta,María Elena,2302,2020-03-29,0,0,0,0
Antofagasta,María Elena,2302,2020-03-30,0,0,0,0
Antofagasta,María Elena,2302,2020-03-31,0,0,0,0
Antofagasta,María Elena,2302,2020-04-01,0,0,0,0
Antofagasta,María Elena,2302,2020-04-02,0,0,0,0
Antofagasta,María Elena,2302,2020-04-03,0,0,0,0
Antofagasta,María Elena,2302,2020-04-04,0,0,0,0
Antofagasta,María Elena,2302,2020-04-05,0,0,0,0
Antofagasta,María Elena,2302,2020-04-06,0,0,0,0
Antofagasta,María Elena,2302,2020-04-07,0,0,0,0
Antofagasta,María Elena,2302,2020-04-08,0,0,0,0
Antofagasta,María Elena,2302,2020-04-09,0,0,0,0
Antofagasta,María Elena,2302,2020-04-10,0,0,0,0
Antofagasta,María Elena,2302,2020-04-11,0,0,0,0
Antofagasta,María Elena,2302,2020-04-12,0,0,0,0
Antofagasta,María Elena,2302,2020-04-13,1,0,0,1
Antofagasta,María Elena,2302,2020-04-14,0,0,0,1
Antofagasta,María Elena,2302,2020-04-15,1,0,0,2
Antofagasta,María Elena,2302,2020-04-16,1,0,0,3
Antofagasta,María Elena,2302,2020-04-17,1,0,0,4
Antofagasta,María Elena,2302,2020-04-18,0,0,0,4
Antofagasta,María Elena,2302,2020-04-19,2,0,0,6
Antofagasta,María Elena,2302,2020-04-20,0,0,0,6
Antofagasta,María Elena,2302,2020-04-21,0,0,0,6
Antofagasta,María Elena,2302,2020-04-22,0,0,0,6
Antofagasta,María Elena,2302,2020-04-23,1,0,0,7
Antofagasta,María Elena,2302,2020-04-24,0,0,0,7
Antofagasta,María Elena,2302,2020-04-25,3,0,0,10
Antofagasta,María Elena,2302,2020-04-26,2,0,0,12
Antofagasta,María Elena,2302,2020-04-27,1,0,0,13
Antofagasta,María Elena,2302,2020-04-28,3,0,0,16
Antofagasta,María Elena,2302,2020-04-29,2,0,0,18
Antofagasta,María Elena,2302,2020-04-30,1,0,0,19
Antofagasta,María Elena,2302,2020-05-01,10,0,0,29
Antofagasta,María Elena,2302,2020-05-02,2,0,0,31
Antofagasta,María Elena,2302,2020-05-03,3,0,0,34
Antofagasta,María Elena,2302,2020-05-04,0,0,0,34
Antofagasta,María Elena,2302,2020-05-05,7,0,0,41
Antofagasta,María Elena,2302,2020-05-06,6,0,0,47
Antofagasta,María Elena,2302,2020-05-07,0,0,0,47
Antofagasta,María Elena,2302,2020-05-08,0,0,0,47
Antofagasta,María Elena,2302,2020-05-09,0,0,0,47
Antofagasta,María Elena,2302,2020-05-10,0,0,0,47
Antofagasta,María Elena,2302,2020-05-11,0,0,0,47
Antofagasta,María Elena,2302,2020-05-12,0,0,0,47
Antofagasta,Mejillones,2102,2020-03-03,0,0,0,0
Antofagasta,Mejillones,2102,2020-03-04,0,0,0,0
Antofagasta,Mejillones,2102,2020-03-05,0,0,0,0
Antofagasta,Mejillones,2102,2020-03-06,0,0,0,0
Antofagasta,Mejillones,2102,2020-03-07,0,0,0,0
Antofagasta,Mejillones,2102,2020-03-08,0,0,0,0
Antofagasta,Mejillones,2102,2020-03-09,0,0,0,0
Antofagasta,Mejillones,2102,2020-03-10,0,0,0,0
Antofagasta,Mejillones,2102,2020-03-11,0,0,0,0
Antofagasta,Mejillones,2102,2020-03-12,0,0,0,0
Antofagasta,Mejillones,2102,2020-03-13,0,0,0,0
Antofagasta,Mejillones,2102,2020-03-14,0,0,0,0
Antofagasta,Mejillones,2102,2020-03-15,0,0,0,0
